"uniprotkb_canonical_ac","gene_id","gene_name","gene_names_alternative","uniprotkb_protein_recommended_name","glycoenzyme_gene_id","gene_group"
"Q9NQR9-1","57818","G6PC2","IGRP","Glucose-6-phosphatase 2","HCM_M23","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P09467-1","2203","FBP1","FBP","Fructose-1,6-bisphosphatase 1","HCM_M24","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P15121-1","231","AKR1B1","ALDR1;ALR2","Aldo-keto reductase family 1 member B1","HCM_M25","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q00796-1","6652","SORD","","Sorbitol dehydrogenase","HCM_M26","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P04075-1","226","ALDOA","ALDA","Fructose-bisphosphate aldolase A","HCM_M28","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P60174-1","7167","TPI1","TPI","Triosephosphate isomerase","HCM_M29","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q9H2F3-1","80270","HSD3B7","","3 beta-hydroxysteroid dehydrogenase type 7","HCM_M32","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q9H8P0-1","79644","SRD5A3","SRD5A2L","Polyprenol reductase","HCM_M33","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P15289-1","410","ARSA","","Arylsulfatase A","HSAS_M01","Arylsulfatase"
"P15848-1","411","ARSB","","Arylsulfatase B","HSAS_M02","Arylsulfatase"
"P08842-1","412","STS","ARSC1","Steryl-sulfatase","HSAS_M03","Arylsulfatase"
"P51689-1","414","ARSD","","Arylsulfatase D","HSAS_M04","Arylsulfatase"
"P51690-1","415","ARSL","ARSE","Arylsulfatase L","HSAS_M05","Arylsulfatase"
"P54793-1","416","ARSF","","Arylsulfatase F","HSAS_M06","Arylsulfatase"
"Q96EG1-1","22901","ARSG","KIAA1001","Arylsulfatase G","HSAS_M07","Arylsulfatase"
"Q5FYA8-1","347527","ARSH","","Arylsulfatase H","HSAS_M08","Arylsulfatase"
"Q5FYB1-1","340075","ARSI","","Arylsulfatase I","HSAS_M09","Arylsulfatase"
"Q5FYB0-1","79642","ARSJ","","Arylsulfatase J","HSAS_M10","Arylsulfatase"
"Q6UWY0-1","153642","ARSK","TSULF","Arylsulfatase K","HSAS_M11","Arylsulfatase"
"P34059-1","2588","GALNS","DKFZp686M2125","N-acetylgalactosamine-6-sulfatase","HST_M01","Sulfatase"
"P22304-1","3423","IDS","SIDS","Iduronate 2-sulfatase","HST_M02","Sulfatase"
"Q8IWU6-1","23213","SULF1","KIAA1077","Extracellular sulfatase Sulf-1","HST_M03","Sulfatase"
"Q8IWU5-1","55959","SULF2","KIAA1247","Extracellular sulfatase Sulf-2","HST_M04","Sulfatase"
"P15586-1","2799","GNS","","N-acetylglucosamine-6-sulfatase","HST_M05","Sulfatase"
"P51688-1","6448","SGSH","HSS","N-sulphoglucosamine sulphohydrolase","HSH_M01","Sulfohydrolase"
"O60507-1","8460","TPST1","","Protein-tyrosine sulfotransferase 1","HSTR_M01","Sulfotransferase"
"O60704-1","8459","TPST2","","Protein-tyrosine sulfotransferase 2","HSTR_M02","Sulfotransferase"
"Q9C0D0-1","221692","PHACTR1","KIAA1733;RPEL1","Phosphatase and actin regulator 1","HSTR_M03","Sulfotransferase"
"Q9NPF2-1","50515","CHST11","","Carbohydrate sulfotransferase 11","HSTR_M04","Sulfotransferase"
"Q9NRB3-1","55501","CHST12","","Carbohydrate sulfotransferase 12","HSTR_M05","Sulfotransferase"
"Q7LGC8-1","9469","CHST3","","Carbohydrate sulfotransferase 3","HSTR_M06","Sulfotransferase"
"Q99999-1","9514","GAL3ST1","CST","Galactosylceramide sulfotransferase","HSTR_M07","Sulfotransferase"
"Q9H3Q3-1","64090","GAL3ST2","GP3ST","Galactose-3-O-sulfotransferase 2","HSTR_M08","Sulfotransferase"
"Q96RP7-1","79690","GAL3ST4","","Galactose-3-O-sulfotransferase 4","HSTR_M09","Sulfotransferase"
"Q9Y4C5-1","9435","CHST2","GN6ST","Carbohydrate sulfotransferase 2","HSTR_M10","Sulfotransferase"
"Q8NCG5-1","10164","CHST4","","Carbohydrate sulfotransferase 4","HSTR_M11","Sulfotransferase"
"Q9GZS9-1","23563","CHST5","","Carbohydrate sulfotransferase 5","HSTR_M12","Sulfotransferase"
"Q9NS84-1","56548","CHST7","","Carbohydrate sulfotransferase 7","HSTR_M13","Sulfotransferase"
"Q7LGA3-1","9653","HS2ST1","HS2ST;KIAA0448","Heparan sulfate 2-O-sulfotransferase 1","HSTR_M14","Sulfotransferase"
"O14792-1","9957","HS3ST1","3OST;3OST1","Heparan sulfate glucosamine 3-O-sulfotransferase 1","HSTR_M15","Sulfotransferase"
"Q9Y662-1","9953","HS3ST3B1","3OST3B1;HS3ST3B","Heparan sulfate glucosamine 3-O-sulfotransferase 3B1","HSTR_M16","Sulfotransferase"
"O60243-1","9394","HS6ST1","HS6ST","Heparan-sulfate 6-O-sulfotransferase 1","HSTR_M17","Sulfotransferase"
"Q96MM7-1","90161","HS6ST2","","Heparan-sulfate 6-O-sulfotransferase 2","HSTR_M18","Sulfotransferase"
"Q8IZP7-1","266722","HS6ST3","","Heparan-sulfate 6-O-sulfotransferase 3","HSTR_M19","Sulfotransferase"
"O43916-1","8534","CHST1","","Carbohydrate sulfotransferase 1","HSTR_M20","Sulfotransferase"
"P52848-1","3340","NDST1","HSST;HSST1","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1","HSTR_M21","Sulfotransferase"
"P52849-1","8509","NDST2","HSST2","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2","HSTR_M22","Sulfotransferase"
"O95803-1","9348","NDST3","HSST3","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3","HSTR_M23","Sulfotransferase"
"Q9H3R1-1","64579","NDST4","HSST4","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 4","HSTR_M24","Sulfotransferase"
"Q9Y278-1","9956","HS3ST2","3OST2","Heparan sulfate glucosamine 3-O-sulfotransferase 2","HSTR_M25","Sulfotransferase"
"Q9Y663-1","9955","HS3ST3A1","3OST3A1;HS3ST3A","Heparan sulfate glucosamine 3-O-sulfotransferase 3A1","HSTR_M26","Sulfotransferase"
"Q7LFX5-1","51363","CHST15","BRAG;GALNAC4S6ST;KIAA0598","Carbohydrate sulfotransferase 15","HSTR_M27","Sulfotransferase"
"Q9Y2C2-1","10090","UST","DS2ST","Uronyl 2-sulfotransferase","HSTR_M28","Sulfotransferase"
"Q8NET6-1","166012","CHST13","","Carbohydrate sulfotransferase 13","HSTR_M29","Sulfotransferase"
"Q8NCH0-1","113189","CHST14","D4ST1","Carbohydrate sulfotransferase 14","HSTR_M30","Sulfotransferase"
"Q9H2A9-1","64377","CHST8","","Carbohydrate sulfotransferase 8","HSTR_M31","Sulfotransferase"
"Q7L1S5-1","83539","CHST9","","Carbohydrate sulfotransferase 9","HSTR_M32","Sulfotransferase"
"O43529-1","9486","CHST10","","Carbohydrate sulfotransferase 10","HSTR_M33","Sulfotransferase"
"Q8IZT8-1","222537","HS3ST5","3OST5;HS3OST5","Heparan sulfate glucosamine 3-O-sulfotransferase 5","HSTR_M34","Sulfotransferase"
"Q96QI5-1","64711","HS3ST6","HS3ST5","Heparan sulfate glucosamine 3-O-sulfotransferase 6","HSTR_M35","Sulfotransferase"
"Q9Y661-1","9951","HS3ST4","3OST4","Heparan sulfate glucosamine 3-O-sulfotransferase 4","HSTR_M36","Sulfotransferase"
"Q9GZX3-1","4166","CHST6","","Carbohydrate sulfotransferase 6","HSTR_M37","Sulfotransferase"
"Q96A11-1","89792","GAL3ST3","","Galactose-3-O-sulfotransferase 3","HSTR_M38","Sulfotransferase"
"O15269-1","10558","SPTLC1","LCB1","Serine palmitoyltransferase 1","HGL_M01","Glycolipid-related"
"O15270-1","9517","SPTLC2","KIAA0526;LCB2","Serine palmitoyltransferase 2","HGL_M02","Glycolipid-related"
"P27544-1","10715","CERS1","LAG1;LASS1;UOG1","Ceramide synthase 1","HGL_M03","Glycolipid-related"
"Q9HA82-1","79603","CERS4","LASS4","Ceramide synthase 4","HGL_M04","Glycolipid-related"
"Q8N5B7-1","91012","CERS5","LASS5","Ceramide synthase 5","HGL_M05","Glycolipid-related"
"Q96G23-1","29956","CERS2","LASS2;TMSG1","Ceramide synthase 2","HGL_M06","Glycolipid-related"
"Q6ZMG9-1","253782","CERS6","LASS6","Ceramide synthase 6","HGL_M07","Glycolipid-related"
"O15121-1","8560","DEGS1","DES1;MLD","Sphingolipid delta(4)-desaturase DES1","HGL_M08","Glycolipid-related"
"Q6QHC5-1","123099","DEGS2","C14orf66","Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2","HGL_M09","Glycolipid-related"
"Q86VZ5-1","259230","SGMS1","MOB;SMS1;TMEM23","Phosphatidylcholine:ceramide cholinephosphotransferase 1","HGL_M10","Glycolipid-related"
"Q9NYA1-1","8877","SPHK1","SK1;SPHK;SPK","Sphingosine kinase 1","HGL_M11","Glycolipid-related"
"Q9NRA0-1","56848","SPHK2","SK2","Sphingosine kinase 2","HGL_M12","Glycolipid-related"
"O95470-1","8879","SGPL1","KIAA1252","Sphingosine-1-phosphate lyase 1","HGL_M13","Glycolipid-related"
"Q8TCT0-1","64781","CERK","KIAA1646","Ceramide kinase","HGL_M14","Glycolipid-related"
"Q9Y5P4-1","10087","CERT1","COL4A3BP;CERT;STARD11","Ceramide transfer protein","HGL_M15","Glycolipid-related"
"Q13510-1","427","ASAH1","ASAH","Acid ceramidase","HGL_M16","Glycolipid-related"
"Q9NR71-1","56624","ASAH2","HNAC1","Neutral ceramidase","HGL_M17","Glycolipid-related"
"Q8TDN7-1","125981","ACER1","ASAH3","Alkaline ceramidase 1","HGL_M18","Glycolipid-related"
"Q9NY59-1","55512","SMPD3","","Sphingomyelin phosphodiesterase 3","HGL_M20","Glycolipid-related"
"Q9BW60-1","64834","ELOVL1","SSC1","Very long chain fatty acid elongase 1","HGL_M21","Glycolipid-related"
"Q9NXB9-1","54898","ELOVL2","SSC2;ELG3","Very long chain fatty acid elongase 2","HGL_M22","Glycolipid-related"
"Q9HB03-1","83401","ELOVL3","CIG30","Very long chain fatty acid elongase 3","HGL_M23","Glycolipid-related"
"Q9GZR5-1","6785","ELOVL4","","Very long chain fatty acid elongase 4","HGL_M24","Glycolipid-related"
"Q9NYP7-1","60481","ELOVL5","ELOVL2","Very long chain fatty acid elongase 5","HGL_M25","Glycolipid-related"
"Q9H5J4-1","79071","ELOVL6","LCE;FACE","Very long chain fatty acid elongase 6","HGL_M26","Glycolipid-related"
"Q06136-1","2531","KDSR","FVT1;SDR35C1","3-ketodihydrosphingosine reductase","HGL_M27","Glycolipid-related"
"Q15035-1","9697","TRAM2","KIAA0057","Translocating chain-associated membrane protein 2","HGL_M28","Glycolipid-related"
"Q86YJ6-1","55258","THNSL2","","Threonine synthase-like 2","HGL_M29","Glycolipid-related"
"O14494-1","8611","PLPP1","LPP1;PPAP2A","Phospholipid phosphatase 1","HGL_M30","Glycolipid-related"
"O14495-1","8613","PLPP3","LPP3;PPAP2B","Phospholipid phosphatase 3","HGL_M31","Glycolipid-related"
"O43688-1","8612","PLPP2","LPP2;PPAP2C","Phospholipid phosphatase 2","HGL_M32","Glycolipid-related"
"Q9NUN7-1","55331","ACER3","APHC;PHCA","Alkaline ceramidase 3","HGL_M33","Glycolipid-related"
"Q8IWX5-1","130367","SGPP2","","Sphingosine-1-phosphate phosphatase 2","HGL_M34","Glycolipid-related"
"Q9BUR5-1","79135","APOO","FAM121B;MIC23;MIC26;MGC4825","MICOS complex subunit MIC26","HGL_M35","Glycolipid-related"
"Q6UXV4-1","139322","APOOL","CXorf33;FAM121A;MIC27","MICOS complex subunit MIC27","HGL_M36","Glycolipid-related"
"O00767-1","6319","SCD","FADS5;SCD1;SCDOS","Stearoyl-CoA desaturase","HGL_M37","Glycolipid-related"
"Q86SK9-1","79966","SCD5","ACOD4;SCD2;SCD4","Stearoyl-CoA desaturase 5","HGL_M38","Glycolipid-related"
"Q8IU89-1","204219","CERS3","LASS3","Ceramide synthase 3","HGL_M41","Glycolipid-related"
"P28039-1","313","AOAH","","Acyloxyacyl hydrolase","HGL_M42","Glycolipid-related"
"P38571-1","3988","LIPA","","Lysosomal acid lipase/cholesteryl ester hydrolase","HGL_M43","Glycolipid-related"
"P17405-1","6609","SMPD1","ASM","Sphingomyelin phosphodiesterase","HGL_M44","Glycolipid-related"
"P20933-1","175","AGA","","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","HGL_M46","Glycolipid-related"
"P17900-1","2760","GM2A","","Ganglioside GM2 activator","HGL_M47","Glycolipid-related"
"Q9NUV7-1","55304","SPTLC3","SPTLC2L;C20orf38","Serine palmitoyltransferase 3","HGL_M48","Glycolipid-related"
"Q8NHU3-1","166929","SGMS2","SMS2","Phosphatidylcholine:ceramide cholinephosphotransferase 2","HGL_M49","Glycolipid-related"
"P07585-1","1634","DCN","SLRR1B","Decorin","HGR_M01","GAG-related"
"P21810-1","633","BGN","SLRR1A","Biglycan","HGR_M02","GAG-related"
"Q06828-1","2331","FMOD","FM;SLRR2E","Fibromodulin","HGR_M03","GAG-related"
"P51884-1","4060","LUM","LDC;SLRR2D","Lumican","HGR_M04","GAG-related"
"P35052-1","2817","GPC1","","Glypican-1","HGR_M05","GAG-related"
"Q8N158-1","221914","GPC2","","Glypican-2","HGR_M06","GAG-related"
"P51654-1","2719","GPC3","OCI5","Glypican-3","HGR_M07","GAG-related"
"O75487-1","2239","GPC4","","Glypican-4","HGR_M08","GAG-related"
"P78333-1","2262","GPC5","","Glypican-5","HGR_M09","GAG-related"
"Q9Y625-1","10082","GPC6","","Glypican-6","HGR_M10","GAG-related"
"P18827-1","6382","SDC1","SDC","Syndecan-1","HGR_M11","GAG-related"
"P34741-1","6383","SDC2","HSPG1","Syndecan-2","HGR_M12","GAG-related"
"O75056-1","9672","SDC3","KIAA0468","Syndecan-3","HGR_M13","GAG-related"
"P31431-1","6385","SDC4","","Syndecan-4","HGR_M14","GAG-related"
"Q6UVK1-1","1464","CSPG4","MCSP","Chondroitin sulfate proteoglycan 4","HGR_M16","GAG-related"
"O95196-1","10675","CSPG5","CALEB;NGC","Chondroitin sulfate proteoglycan 5","HGR_M17","GAG-related"
"Q9UQE7-1","9126","SMC3","BMH;BAM;CSPG6;SMC3L1","Structural maintenance of chromosomes protein 3","HGR_M18","GAG-related"
"P98160-1","3339","HSPG2","","Basement membrane-specific heparan sulfate proteoglycan core protein","HGR_M19","GAG-related"
"P16070-1","960","CD44","LHR;MDU2;MDU3;MIC4","CD44 antigen","HGR_M20","GAG-related"
"Q15465-1","6469","SHH","","Sonic hedgehog protein","HGR_M21","GAG-related"
"P28906-1","947","CD34","","Hematopoietic progenitor cell antigen CD34","HGR_M22","GAG-related"
"Q8IVK1-1","","GLYCAM1","","Putative glycosylation-dependent cell adhesion molecule 1","HGR_M23","GAG-related"
"Q13477-1","8174","MADCAM1","","Mucosal addressin cell adhesion molecule 1","HGR_M24","GAG-related"
"Q14242-1","6404","SELPLG","","P-selectin glycoprotein ligand 1","HGR_M25","GAG-related"
"Q14055-1","1298","COL9A2","","Collagen alpha-2(IX) chain","HGR_M26","GAG-related"
"Q05707-1","7373","COL14A1","UND","Collagen alpha-1(XIV) chain","HGR_M27","GAG-related"
"P04233-1","972","CD74","DHLAG","HLA class II histocompatibility antigen gamma chain","HGR_M28","GAG-related"
"Q14118-1","1605","DAG1","","Dystroglycan 1","HGR_M29","GAG-related"
"Q9H9S5-1","79147","FKRP","","Ribitol 5-phosphate transferase FKRP","HGR_M30","GAG-related"
"P10124-1","5552","SRGN","PRG1;PRG","Serglycin","HGR_M31","GAG-related"
"Q9UL01-1","29940","DSE","SART2","Dermatan-sulfate epimerase","HGR_M32","GAG-related"
"Q03405-1","5329","PLAUR","MO3;UPAR","Urokinase plasminogen activator surface receptor","HGR_M34","GAG-related"
"P01008-1","462","SERPINC1","AT3","Antithrombin-III","HGR_M35","GAG-related"
"Q8IZU8-1","92126","DSEL","C18orf4;NCAG1","Dermatan-sulfate epimerase-like protein","HGR_M36","GAG-related"
"P21246-1","5764","PTN","HBNF1;NEGF1","Pleiotrophin","HGR_M37","GAG-related"
"Q14520-1","3026","HABP2","HGFAL;PHBP","Hyaluronan-binding protein 2","HGR_M38a","GAG-related"
"Q14520-1","3026","HABP2","HGFAL;PHBP","Hyaluronan-binding protein 2","HGR_M38b","GAG-related"
"O60938-1","11081","KERA","SLRR2B","Keratocan","HGR_M39","GAG-related"
"P20774-1","4969","OGN","OIF;SLRR3A","Mimecan","HGR_M40","GAG-related"
"Q9GZU5-1","60506","NYX","CLRP","Nyctalopin","HGR_M41","GAG-related"
"Q9GZU5-1","60506","NYX","CLRP","Nyctalopin","HGR_M41c","GAG-related"
"P23471-1","5803","PTPRZ1","HTPZP2;PTPRZ;PTPRZ2;PTPZ","Receptor-type tyrosine-protein phosphatase zeta","HGR_M42","GAG-related"
"P24821-1","3371","TNC","HXB","Tenascin","HGR_M43","GAG-related"
"Q92752-1","7143","TNR","","Tenascin-R","HGR_M44","GAG-related"
"Q9BXN1-1","54829","ASPN","PLAP1;SLRR1C","Asporin","HGR_M45","GAG-related"
"Q99645-1","1833","EPYC","DSPG3;PGLB;SLRR3B","Epiphycan","HGR_M46","GAG-related"
"Q14993-1","1310","COL19A1","","Collagen alpha-1(XIX) chain","HGR_M47","GAG-related"
"P10915-1","1404","HAPLN1","CRTL1","Hyaluronan and proteoglycan link protein 1","HGR_M48","GAG-related"
"Q9GZV7-1","60484","HAPLN2","BRAL1","Hyaluronan and proteoglycan link protein 2","HGR_M49","GAG-related"
"Q96S86-1","145864","HAPLN3","EXLD1","Hyaluronan and proteoglycan link protein 3","HGR_M50","GAG-related"
"Q86UW8-1","404037","HAPLN4","BRAL2;KIAA1926","Hyaluronan and proteoglycan link protein 4","HGR_M51","GAG-related"
"Q08629-1","6695","SPOCK1","SPOCK;TIC1;TICN1","Testican-1","HGR_M52","GAG-related"
"Q92563-1","9806","SPOCK2","KIAA0275;TICN2","Testican-2","HGR_M53","GAG-related"
"Q9BQ16-3","50859","SPOCK3","TICN3","Testican-3","HGR_M54","GAG-related"
"Q92954-1","10216","PRG4","MSF;SZP","Proteoglycan 4","HGR_M55","GAG-related"
"Q7L0J3-1","9900","SV2A","KIAA0736","Synaptic vesicle glycoprotein 2A","HGR_M56","GAG-related"
"Q8N4V2-1","55530","SVOP","","Synaptic vesicle 2-related protein","HGR_M57","GAG-related"
"Q8N434-1","136306","SVOPL","","Putative transporter SVOPL","HGR_M58","GAG-related"
"Q32P28-1","64175","P3H1","GROS1;LEPRE1","Prolyl 3-hydroxylase 1","HGR_M59","GAG-related"
"Q8IVL5-1","55214","P3H2","LEPREL1;MLAT4","Prolyl 3-hydroxylase 2","HGR_M60","GAG-related"
"Q8IVL6-1","10536","P3H3","LEPREL2","Prolyl 3-hydroxylase 3","HGR_M61","GAG-related"
"Q9NQ30-1","11082","ESM1","","Endothelial cell-specific molecule 1","HGR_M62","GAG-related"
"O94923-1","26035","GLCE","KIAA0836","D-glucuronyl C5-epimerase","HGR_M63","GAG-related"
"Q03167-1","7049","TGFBR3","","Transforming growth factor beta receptor type 3","HGR_M64","GAG-related"
"O75063-1","9917","FAM20B","KIAA0475","Glycosaminoglycan xylosylkinase","HGR_M65","GAG-related"
"Q8TE99-1","","PXYLP1","ACPL2;HEL124;XYLP","2-phosphoxylose phosphatase 1","HGR_M66","GAG-related"
"Q68CP4-1","138050","HGSNAT","TMEM76","Heparan-alpha-glucosaminide N-acetyltransferase","HGR_M67","GAG-related"
"P05230-1","2246","FGF1","FGFA","Fibroblast growth factor 1","HFGF_M01","Fibroblast Growth Factor"
"P09038-4","2247","FGF2","FGFB","Fibroblast growth factor 2","HFGF_M02","Fibroblast Growth Factor"
"P11487-1","2248","FGF3","INT2","Fibroblast growth factor 3","HFGF_M03","Fibroblast Growth Factor"
"P08620-1","2249","FGF4","HST;HSTF1;KS3","Fibroblast growth factor 4","HFGF_M04","Fibroblast Growth Factor"
"P12034-1","2250","FGF5","","Fibroblast growth factor 5","HFGF_M05","Fibroblast Growth Factor"
"P21781-1","2252","FGF7","KGF","Fibroblast growth factor 7","HFGF_M06","Fibroblast Growth Factor"
"P55075-1","2253","FGF8","AIGF","Fibroblast growth factor 8","HFGF_M07","Fibroblast Growth Factor"
"P31371-1","2254","FGF9","","Fibroblast growth factor 9","HFGF_M08","Fibroblast Growth Factor"
"O15520-1","2255","FGF10","","Fibroblast growth factor 10","HFGF_M09","Fibroblast Growth Factor"
"Q92914-1","2256","FGF11","FHF3","Fibroblast growth factor 11","HFGF_M10","Fibroblast Growth Factor"
"P61328-1","2257","FGF12","FGF12B;FHF1","Fibroblast growth factor 12","HFGF_M11","Fibroblast Growth Factor"
"Q92913-1","2258","FGF13","FHF2","Fibroblast growth factor 13","HFGF_M12","Fibroblast Growth Factor"
"Q92915-1","2259","FGF14","FHF4","Fibroblast growth factor 14","HFGF_M13","Fibroblast Growth Factor"
"O95750-1","9965","FGF19","","Fibroblast growth factor 19","HFGF_M14","Fibroblast Growth Factor"
"O43320-1","8823","FGF16","","Fibroblast growth factor 16","HFGF_M15","Fibroblast Growth Factor"
"O60258-1","8822","FGF17","","Fibroblast growth factor 17","HFGF_M16","Fibroblast Growth Factor"
"O76093-1","8817","FGF18","","Fibroblast growth factor 18","HFGF_M17","Fibroblast Growth Factor"
"Q9NP95-1","26281","FGF20","","Fibroblast growth factor 20","HFGF_M18","Fibroblast Growth Factor"
"Q9NSA1-1","26291","FGF21","","Fibroblast growth factor 21","HFGF_M19","Fibroblast Growth Factor"
"Q9GZV9-1","8074","FGF23","HYPF","Fibroblast growth factor 23","HFGF_M20","Fibroblast Growth Factor"
"P10767-1","2251","FGF6","HST2;HSTF2","Fibroblast growth factor 6","HFGF_M21","Fibroblast Growth Factor"
"Q9HCT0-1","27006","FGF22","","Fibroblast growth factor 22","HFGF_M22","Fibroblast Growth Factor"
"P11362-1","2260","FGFR1","FLG;BFGFR;CEK;FGFBR;FLT2;HBGFR","Fibroblast growth factor receptor 1","HFGFR1","Fibroblast Growth Factor Receptor"
"P21802-1","2263","FGFR2","BEK;KGFR;KSAM","Fibroblast growth factor receptor 2","HFGFR2","Fibroblast Growth Factor Receptor"
"P22607-1","2261","FGFR3","JTK4","Fibroblast growth factor receptor 3","HFGFR3","Fibroblast Growth Factor Receptor"
"P22455-1","2264","FGFR4","JTK2;TKF","Fibroblast growth factor receptor 4","HFGFR4","Fibroblast Growth Factor Receptor"
"O75352-1","9526","MPDU1","","Mannose-P-dolichol utilization defect 1 protein","HLLO_M01","LLO Pathway"
"Q9P2X0-1","54344","DPM3","","Dolichol-phosphate mannosyltransferase subunit 3","HLLO_M02","LLO Pathway"
"O94777-1","8818","DPM2","","Dolichol phosphate-mannose biosynthesis regulatory protein","HLLO_M03","LLO Pathway"
"P61803-1","1603","DAD1","","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1","HLLO_M04","LLO Pathway"
"P39656-1","1650","DDOST","KIAA0115;OST48","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","HLLO_M05","LLO Pathway"
"P04843-1","6184","RPN1","","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","HLLO_M06","LLO Pathway"
"P04844-1","6185","RPN2","","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","HLLO_M07","LLO Pathway"
"Q9H3H5-1","1798","DPAGT1","DPAGT2","UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase","HLLO_M08","LLO Pathway"
"Q96AA3-1","91869","RFT1","","Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1","HLLO_M09","LLO Pathway"
"Q9UPQ8-1","22845","DOLK","KIAA1094;TMEM15","Dolichol kinase","HLLO_M10","LLO Pathway"
"Q13454-1","7991","TUSC3","N33","Tumor suppressor candidate 3","HLLO_M11","LLO Pathway"
"P0C6T2-1","100128731","OST4","","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4","HLLO_M12","LLO Pathway"
"O43292-1","8733","GPAA1","GAA1","Glycosylphosphatidylinositol anchor attachment 1 protein","HGPI_M01","GPI Pathway"
"O95427-1","23556","PIGN","MCD4","GPI ethanolamine phosphate transferase 1","HGPI_M02","GPI Pathway"
"Q07326-1","5281","PIGF","","Phosphatidylinositol-glycan biosynthesis class F protein","HGPI_M03","GPI Pathway"
"Q8TEQ8-1","84720","PIGO","","GPI ethanolamine phosphate transferase 3","HGPI_M04","GPI Pathway"
"Q92643-1","10026","PIGK","GPI8","GPI-anchor transamidase","HGPI_M05","GPI Pathway"
"Q969N2-1","51604","PIGT","","GPI transamidase component PIG-T","HGPI_M06","GPI Pathway"
"Q14442-1","5283","PIGH","","Phosphatidylinositol N-acetylglucosaminyltransferase subunit H","HGPI_M07","GPI Pathway"
"Q9H490-1","128869","PIGU","CDC91L1","Phosphatidylinositol glycan anchor biosynthesis class U protein","HGPI_M08","GPI Pathway"
"Q96S52-1","94005","PIGS","","GPI transamidase component PIG-S","HGPI_M09","GPI Pathway"
"Q9Y2B2-1","9487","PIGL","","N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase","HGPI_M10","GPI Pathway"
"Q3MUY2-1","84992","PIGY","","Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y","HGPI_M11","GPI Pathway"
"P80108-1","2822","GPLD1","PIGPLD1","Phosphatidylinositol-glycan-specific phospholipase D","HGPI_M12","GPI Pathway"
"Q7Z7B1-1","284098","PIGW","","Phosphatidylinositol-glycan biosynthesis class W protein","HGPI_M13","GPI Pathway"
"Q5H8A4-1","54872","PIGG","GPI7","GPI ethanolamine phosphate transferase 2","HGPI_M14","GPI Pathway"
"Q75T13-1","80055","PGAP1","","GPI inositol-deacylase","HGPI_M15","GPI Pathway"
"Q92535-1","5279","PIGC","GPI2","Phosphatidylinositol N-acetylglucosaminyltransferase subunit C","HGPI_M16","GPI Pathway"
"Q9BRB3-1","9091","PIGQ","GPI1","Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q","HGPI_M17","GPI Pathway"
"P57054-1","51227","PIGP","DCRC;DSCR5;DSCRC","Phosphatidylinositol N-acetylglucosaminyltransferase subunit P","HGPI_M18","GPI Pathway"
"Q8TBF5-1","54965","PIGX","","Phosphatidylinositol-glycan biosynthesis class X protein","HGPI_M19","GPI Pathway"
"Q8WTW3-1","9382","COG1","KIAA1381;LDLB","Conserved oligomeric Golgi complex subunit 1","HCOG_M01","COGs"
"Q14746-1","22796","COG2","LDLC","Conserved oligomeric Golgi complex subunit 2","HCOG_M02","COGs"
"Q96JB2-1","83548","COG3","SEC34","Conserved oligomeric Golgi complex subunit 3","HCOG_M03","COGs"
"Q9H9E3-1","25839","COG4","","Conserved oligomeric Golgi complex subunit 4","HCOG_M04","COGs"
"Q9UP83-2","10466","COG5","GOLTC1;GTC90","Conserved oligomeric Golgi complex subunit 5","HCOG_M05","COGs"
"Q9Y2V7-1","57511","COG6","KIAA1134","Conserved oligomeric Golgi complex subunit 6","HCOG_M06","COGs"
"P83436-1","91949","COG7","","Conserved oligomeric Golgi complex subunit 7","HCOG_M07","COGs"
"Q96MW5-1","84342","COG8","","Conserved oligomeric Golgi complex subunit 8","HCOG_M08","COGs"
"Q02809-1","5351","PLOD1","LLH;PLOD","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","HCD_M01","Collagen Degradation"
